-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2022,12,20,21,7.46,142.53
2022,12,20,22,7.33,144.33
2022,12,20,23,7.05,148.83
2022,12,21,0,6.68,152.12
2022,12,21,1,6.32,152.77
2022,12,21,2,5.8,154.71
2022,12,21,3,5.9,156.69
2022,12,21,4,6.3,154.74
2022,12,21,5,6.55,152.12
2022,12,21,6,6.6,149.4
2022,12,21,7,7.92,146.22
2022,12,21,8,7.95,144.03
2022,12,21,9,7.63,144.46
2022,12,21,10,7.57,146.75
2022,12,21,11,7.74,150.43
2022,12,21,12,8.18,153.34
2022,12,21,13,8.8,154.71
2022,12,21,14,9.31,154.29
2022,12,21,15,9.8,152.62
2022,12,21,16,10.14,150.19
2022,12,21,17,10.15,147.7
2022,12,21,18,9.23,146.61
2022,12,21,19,8.52,146.7
2022,12,21,20,8.5,145.59
2022,12,21,21,8.49,144.32
2022,12,21,22,8.41,142.28
2022,12,21,23,8.29,140.66
2022,12,22,0,8.23,140.01
2022,12,22,1,7.99,138.33
2022,12,22,2,7.59,137.34
2022,12,22,3,7.08,137.01
2022,12,22,4,6.82,136.86
2022,12,22,5,6.59,137.55
2022,12,22,6,7.25,136.31
2022,12,22,7,8.63,128.57
2022,12,22,8,8.16,123.6
2022,12,22,9,7.37,120.72
2022,12,22,10,6.73,121.12
2022,12,22,11,6.31,124.04
2022,12,22,12,6.17,129.86
2022,12,22,13,6.73,135.94
2022,12,22,14,8.09,139.74
2022,12,22,15,9.64,141.19
2022,12,22,16,10.58,140.12
2022,12,22,17,10.59,137.0
2022,12,22,18,9.53,133.84
2022,12,22,19,8.27,134.5
2022,12,22,20,7.94,135.0
2022,12,22,21,7.84,133.83
2022,12,22,22,7.81,131.63
2022,12,22,23,7.79,129.39
2022,12,23,0,7.51,128.32
2022,12,23,1,7.12,127.06
2022,12,23,2,6.69,124.34
2022,12,23,3,6.32,119.89
2022,12,23,4,6.08,114.43
2022,12,23,5,5.74,110.8
2022,12,23,6,5.61,101.33
2022,12,23,7,5.22,88.11
2022,12,23,8,3.94,73.76
2022,12,23,9,2.8,42.63
2022,12,23,10,2.27,359.41
2022,12,23,11,2.05,319.16
2022,12,23,12,2.29,293.76
2022,12,23,13,2.33,281.2
2022,12,23,14,2.04,263.83
2022,12,23,15,1.52,216.87
2022,12,23,16,2.86,161.37
2022,12,23,17,5.1,143.41
2022,12,23,18,6.6,135.82
2022,12,23,19,7.27,129.9
2022,12,23,20,7.92,123.33
2022,12,23,21,8.0,118.52
2022,12,23,22,7.82,117.05
2022,12,23,23,7.41,117.51
2022,12,24,0,7.06,116.96
2022,12,24,1,6.83,112.81
2022,12,24,2,6.58,104.71
2022,12,24,3,6.37,95.35
2022,12,24,4,6.0,85.97
2022,12,24,5,5.45,75.65
2022,12,24,6,5.23,58.19
2022,12,24,7,5.45,39.88
2022,12,24,8,5.01,23.81
2022,12,24,9,4.16,10.49
2022,12,24,10,3.46,2.07
2022,12,24,11,2.68,353.97
2022,12,24,12,1.69,337.22
2022,12,24,13,0.78,291.16
2022,12,24,14,1.2,188.6
2022,12,24,15,3.22,161.3
2022,12,24,16,5.37,149.22
2022,12,24,17,6.96,137.82
2022,12,24,18,7.45,130.96
2022,12,24,19,7.47,125.42
2022,12,24,20,7.07,122.35
2022,12,24,21,6.58,120.52
2022,12,24,22,6.17,120.69
2022,12,24,23,6.25,113.36
2022,12,25,0,6.35,103.3
2022,12,25,1,6.23,90.72
2022,12,25,2,6.37,70.81
2022,12,25,3,6.2,55.99
2022,12,25,4,5.48,48.81
2022,12,25,5,4.49,46.48
2022,12,25,6,3.19,45.2
2022,12,25,7,3.68,34.36
2022,12,25,8,3.86,30.92
2022,12,25,9,3.6,37.14
2022,12,25,10,3.43,42.41
2022,12,25,11,3.02,45.94
2022,12,25,12,2.43,51.14
2022,12,25,13,1.75,58.16
2022,12,25,14,0.85,78.27
2022,12,25,15,0.86,146.45
2022,12,25,16,1.81,157.74
2022,12,25,17,2.77,152.28
2022,12,25,18,3.22,145.19
2022,12,25,19,3.55,134.2
2022,12,25,20,4.56,126.14
2022,12,25,21,6.07,117.36
2022,12,25,22,6.93,110.6
2022,12,25,23,7.16,107.66
2022,12,26,0,7.01,104.45
2022,12,26,1,6.52,98.75
2022,12,26,2,5.91,90.45
2022,12,26,3,5.5,81.1
2022,12,26,4,5.11,73.39
2022,12,26,5,4.52,63.83
2022,12,26,6,3.65,52.74
2022,12,26,7,2.82,29.76
2022,12,26,8,3.67,353.03
2022,12,26,9,4.75,343.06
2022,12,26,10,5.59,342.25
2022,12,26,11,5.91,342.55
2022,12,26,12,5.61,340.66
2022,12,26,13,4.91,339.4
2022,12,26,14,4.21,338.77
2022,12,26,15,3.71,338.24
2022,12,26,16,3.21,339.31
2022,12,26,17,2.69,347.58
2022,12,26,18,2.38,2.64
2022,12,26,19,2.53,27.04
2022,12,26,20,3.27,49.46
2022,12,26,21,4.13,63.0
2022,12,26,22,4.14,65.13
2022,12,26,23,3.48,51.56
2022,12,27,0,4.17,38.99
2022,12,27,1,4.64,29.97
2022,12,27,2,3.96,5.32
2022,12,27,3,5.14,357.12
2022,12,27,4,6.29,357.44
2022,12,27,5,6.0,355.6
2022,12,27,6,5.71,353.08
2022,12,27,7,6.54,346.31
2022,12,27,8,6.7,339.87
2022,12,27,9,6.13,336.64
2022,12,27,10,5.52,333.98
2022,12,27,11,5.08,332.02
2022,12,27,12,4.62,326.79
2022,12,27,13,4.28,322.13
2022,12,27,14,4.06,321.87
2022,12,27,15,3.81,326.28
2022,12,27,16,3.46,331.87
2022,12,27,17,3.09,336.16
2022,12,27,18,2.74,337.38
2022,12,27,19,1.94,352.85
2022,12,27,20,1.61,26.19
2022,12,27,21,1.81,46.93
2022,12,27,22,1.88,45.67
2022,12,27,23,1.82,25.91
2022,12,28,0,2.32,11.27
2022,12,28,1,3.18,10.62
2022,12,28,2,4.02,6.25
2022,12,28,3,4.56,358.53
2022,12,28,4,4.99,354.07
2022,12,28,5,5.09,356.04
2022,12,28,6,5.45,358.85
2022,12,28,7,6.72,357.13
2022,12,28,8,8.41,351.45
2022,12,28,9,9.56,347.05
2022,12,28,10,9.94,343.42
2022,12,28,11,10.01,341.44
2022,12,28,12,10.42,339.23
2022,12,28,13,10.85,338.18
2022,12,28,14,11.03,337.56
2022,12,28,15,10.93,337.43
2022,12,28,16,10.5,339.49
2022,12,28,17,9.36,343.11
2022,12,28,18,8.2,347.62
2022,12,28,19,7.23,351.11
2022,12,28,20,6.66,349.86
2022,12,28,21,6.77,344.14
2022,12,28,22,6.92,338.62
2022,12,28,23,6.47,335.54
2022,12,29,0,6.27,333.53
2022,12,29,1,6.17,333.6
2022,12,29,2,5.62,339.15
