-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,12,20,21,0.0,0.0,0.0,0.0,0.0
2022,12,20,22,0.0,0.0,0.0,0.0,0.0
2022,12,20,23,0.0,0.0,0.0,0.0,0.0
2022,12,21,0,0.0,0.0,0.0,0.0,0.0
2022,12,21,1,0.0,0.0,0.0,0.0,0.0
2022,12,21,2,0.0,0.0,0.0,0.0,0.0
2022,12,21,3,0.0,0.0,0.0,0.0,0.0
2022,12,21,4,0.0,0.0,0.0,0.0,0.0
2022,12,21,5,5.83,5.88,0.73,0.0,0.02
2022,12,21,6,64.45,78.83,7.53,0.06,0.3
2022,12,21,7,143.05,188.8,18.23,0.34,1.67
2022,12,21,8,213.02,294.7,28.83,0.79,4.15
2022,12,21,9,199.5,380.98,28.98,1.0,5.33
2022,12,21,10,249.75,445.35,35.98,1.41,7.17
2022,12,21,11,282.4,479.67,40.33,1.66,9.15
2022,12,21,12,306.67,495.17,44.16,1.84,10.25
2022,12,21,13,373.5,467.85,52.31,2.06,11.12
2022,12,21,14,317.02,410.08,43.92,1.55,8.08
2022,12,21,15,254.88,327.6,34.38,1.0,5.33
2022,12,21,16,162.42,225.33,21.25,0.45,2.2
2022,12,21,17,74.52,113.45,8.77,0.09,0.48
2022,12,21,18,14.95,17.58,1.77,0.01,0.02
2022,12,21,19,0.0,0.0,0.0,0.0,0.0
2022,12,21,20,0.0,0.0,0.0,0.0,0.0
2022,12,21,21,0.0,0.0,0.0,0.0,0.0
2022,12,21,22,0.0,0.0,0.0,0.0,0.0
2022,12,21,23,0.0,0.0,0.0,0.0,0.0
2022,12,22,0,0.0,0.0,0.0,0.0,0.0
2022,12,22,1,0.0,0.0,0.0,0.0,0.0
2022,12,22,2,0.0,0.0,0.0,0.0,0.0
2022,12,22,3,0.0,0.0,0.0,0.0,0.0
2022,12,22,4,0.0,0.0,0.0,0.0,0.0
2022,12,22,5,5.98,6.05,0.74,0.0,0.02
2022,12,22,6,67.2,83.55,7.7,0.06,0.3
2022,12,22,7,151.73,194.88,19.18,0.35,1.75
2022,12,22,8,242.17,300.83,32.12,0.86,4.45
2022,12,22,9,304.08,388.9,41.83,1.41,7.52
2022,12,22,10,354.73,452.75,49.96,1.91,10.02
2022,12,22,11,392.02,486.95,55.28,2.24,12.62
2022,12,22,12,393.12,498.3,56.2,2.31,13.08
2022,12,22,13,326.75,469.95,47.12,1.86,10.12
2022,12,22,14,332.65,411.95,45.96,1.62,8.48
2022,12,22,15,246.45,328.2,33.28,0.97,5.15
2022,12,22,16,158.02,225.5,20.52,0.43,2.12
2022,12,22,17,80.02,115.3,9.35,0.1,0.5
2022,12,22,18,16.2,18.35,1.86,0.01,0.02
2022,12,22,19,0.0,0.0,0.0,0.0,0.0
2022,12,22,20,0.0,0.0,0.0,0.0,0.0
2022,12,22,21,0.0,0.0,0.0,0.0,0.0
2022,12,22,22,0.0,0.0,0.0,0.0,0.0
2022,12,22,23,0.0,0.0,0.0,0.0,0.0
2022,12,23,0,0.0,0.0,0.0,0.0,0.0
2022,12,23,1,0.0,0.0,0.0,0.0,0.0
2022,12,23,2,0.0,0.0,0.0,0.0,0.0
2022,12,23,3,0.0,0.0,0.0,0.0,0.0
2022,12,23,4,0.0,0.0,0.0,0.0,0.0
2022,12,23,5,5.85,5.88,0.72,0.0,0.02
2022,12,23,6,81.8,83.55,8.67,0.06,0.3
2022,12,23,7,193.12,195.42,22.86,0.38,1.88
2022,12,23,8,298.12,301.2,38.07,0.96,4.85
2022,12,23,9,389.88,389.12,51.7,1.66,8.75
2022,12,23,10,450.45,451.92,61.02,2.23,12.33
2022,12,23,11,466.1,487.92,64.32,2.53,14.35
2022,12,23,12,431.38,495.73,60.0,2.41,13.55
2022,12,23,13,385.55,468.23,54.16,2.07,11.15
2022,12,23,14,281.4,411.4,39.54,1.38,7.1
2022,12,23,15,200.55,328.15,27.99,0.82,4.38
2022,12,23,16,131.1,226.3,17.92,0.39,1.92
2022,12,23,17,57.05,114.98,7.35,0.09,0.42
2022,12,23,18,9.85,18.65,1.32,0.01,0.02
2022,12,23,19,0.0,0.0,0.0,0.0,0.0
2022,12,23,20,0.0,0.0,0.0,0.0,0.0
2022,12,23,21,0.0,0.0,0.0,0.0,0.0
2022,12,23,22,0.0,0.0,0.0,0.0,0.0
2022,12,23,23,0.0,0.0,0.0,0.0,0.0
2022,12,24,0,0.0,0.0,0.0,0.0,0.0
2022,12,24,1,0.0,0.0,0.0,0.0,0.0
2022,12,24,2,0.0,0.0,0.0,0.0,0.0
2022,12,24,3,0.0,0.0,0.0,0.0,0.0
2022,12,24,4,0.0,0.0,0.0,0.0,0.0
2022,12,24,5,5.23,5.27,0.66,0.0,0.0
2022,12,24,6,75.4,76.8,8.18,0.06,0.3
2022,12,24,7,186.55,186.8,21.9,0.38,1.83
2022,12,24,8,295.52,294.33,37.33,0.95,4.77
2022,12,24,9,385.02,383.35,50.7,1.64,8.7
2022,12,24,10,453.7,450.35,61.31,2.27,12.67
2022,12,24,11,486.77,487.73,66.69,2.65,15.17
2022,12,24,12,457.8,495.65,63.31,2.56,14.6
2022,12,24,13,427.98,468.7,58.82,2.28,12.42
2022,12,24,14,258.08,411.95,37.05,1.32,6.77
2022,12,24,15,219.9,330.95,30.91,0.92,4.98
2022,12,24,16,144.38,229.67,19.54,0.42,2.1
2022,12,24,17,55.6,117.27,7.29,0.09,0.42
2022,12,24,18,10.05,18.9,1.36,0.01,0.02
2022,12,24,19,0.0,0.0,0.0,0.0,0.0
2022,12,24,20,0.0,0.0,0.0,0.0,0.0
2022,12,24,21,0.0,0.0,0.0,0.0,0.0
2022,12,24,22,0.0,0.0,0.0,0.0,0.0
2022,12,24,23,0.0,0.0,0.0,0.0,0.0
2022,12,25,0,0.0,0.0,0.0,0.0,0.0
2022,12,25,1,0.0,0.0,0.0,0.0,0.0
2022,12,25,2,0.0,0.0,0.0,0.0,0.0
2022,12,25,3,0.0,0.0,0.0,0.0,0.0
2022,12,25,4,0.0,0.0,0.0,0.0,0.0
